Glycemic Index,Calories,Carbohydrates,Protein,Fat,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
20,280,8.0,15.0,20.0,620,480,30,300,2.0
35,240,20.0,10.0,16.0,570,450,28,200,4.0
55,320,40.0,8.0,16.0,780,450,30,100,5.0
50,400,45.0,20.0,16.0,820,480,35,60,2.0
50,180,35.0,4.0,2.0,460,280,22,20,3.0
25,120,20.0,3.0,3.0,50,180,10,100,0.0
27,320,55.0,10.0,6.0,680,750,40,100,7.0
50,400,50.0,10.0,18.0,780,520,35,100,8.0
6,170,20.0,6.0,9.0,230,240,40,40,6.0
30,320,35.0,10.0,18.0,430,400,35,100,7.0
25,180,20.0,4.0,10.0,280,250,20,80,3.0
20,400,25.0,30.0,20.0,980,450,30,120,3.0
12,160,10.0,3.0,12.0,240,210,25,60,2.0
45,400,60.0,12.0,10.0,650,300,35,80,4.0
50,380,45.0,15.0,16.0,720,350,30,60,3.0
30,250,30.0,8.0,12.0,380,200,20,40,3.0
45,280,30.0,12.0,14.0,480,250,28,120,2.0
0,320,8.0,25.0,20.0,620,380,35,60,2.0
4,150,6.0,10.0,10.0,200,240,30,350,0.0
75,300,40.0,5.0,14.0,250,100,15,120,2.0
0,280,5.0,25.0,18.0,740,380,30,60,1.0
20,400,35.0,15.0,22.0,950,420,35,100,4.0
40,500,45.0,25.0,28.0,800,550,40,150,3.0
40,240,40.0,12.0,2.0,300,600,40,80,10.0
20,350,15.0,30.0,22.0,880,410,35,60,2.0
4,90,12.0,3.0,3.0,90,220,10,120,0.0
25,180,25.0,5.0,8.0,75,150,15,150,1.0
45,420,45.0,25.0,18.0,720,390,30,80,3.0
30,260,20.0,15.0,14.0,480,350,25,60,3.0
80,180,20.0,5.0,10.0,200,180,20,20,2.0
50,400,45.0,20.0,16.0,820,480,35,60,2.0
55,150,35.0,1.0,0.0,10,200,15,25,2.0
0,300,10.0,25.0,18.0,680,420,30,60,3.0
55,380,45.0,15.0,18.0,850,380,35,90,4.0
40,450,50.0,20.0,20.0,820,550,30,120,3.0
25,180,25.0,5.0,8.0,320,250,20,120,4.0
40,500,45.0,25.0,28.0,800,550,40,150,3.0
0,250,15.0,15.0,18.0,350,300,25,50,2.0
30,320,35.0,10.0,18.0,680,350,35,80,5.0
40,280,30.0,10.0,15.0,480,250,25,120,2.0
50,380,30.0,20.0,22.0,780,400,35,100,3.0
75,320,40.0,5.0,16.0,200,100,15,120,2.0
55,320,30.0,5.0,18.0,200,100,15,120,2.0
30,60,10.0,2.0,1.0,10,50,5,10,3.402794411177645
